sample_id,filename,ground_truth,method,prediction,exact_match,hierarchical_similarity,tree_distance,common_ancestor,confidence,reasoning_summary
0,pubmed/fa_03_PMC6872615_JVIM-33-2770-g004_5.jpg,no definitive diagnosis,sam_baseline,no definitive diagnosis,1,1.0,0,no definitive diagnosis,1.0,"The image shows the back of a horse near the tail, not human skin."
1,youtube/IXZC_NOKpq0_frame_20623_0_0.jpg,no definitive diagnosis,sam_baseline,no definitive diagnosis,1,1.0,0,no definitive diagnosis,0.7,"The image shows the neck and upper chest area undergoing what appears to be a cosmetic or therapeutic procedure, possibly involving a laser or light-based device. The skin appears to be slightly red, "
2,pubmed/5e_ea_PMC7007033_abd-94-04-0491-g03_1.jpg,no definitive diagnosis,sam_baseline,no definitive diagnosis,1,1.0,0,no definitive diagnosis,0.6,"Image shows a close-up of a fingernail with a vertical stripe of discoloration. The surrounding skin and nail appear normal, without any visible lesions or abnormalities."
3,pubmed/42_f3_PMC8202470_IDOJ_12_454_g001_0.png,no definitive diagnosis,sam_baseline,no definitive diagnosis,1,1.0,0,no definitive diagnosis,0.6,"The image shows a diffuse erythematous rash covering the cheek and extending to the lower face. The redness appears homogeneous with no clearly defined borders or specific lesions such as papules, pus"
4,youtube/0JGlIffYRuM_frame_4049_0.jpg,no definitive diagnosis,sam_baseline,basal cell carcinoma,0,0.0,-1,,0.9,"The image shows a pearly, pinkish nodular lesion with visible telangiectasia and a central ulceration, characteristic of basal cell carcinoma."
5,youtube/TyY1qef8dIM_frame_562_0.jpg,allergic contact dermatitis,sam_baseline,psoriasis,0,0.4,3,non-infectious,0.9,"The image shows well-demarcated, erythematous plaques with silvery scales on the arm. Some areas have coalesced, forming larger plaques with pustular appearance, characteristic of pustular psoriasis."
6,youtube/y06F3fLlDzM_frame_2891_0_0.jpg,allergic contact dermatitis,sam_baseline,no definitive diagnosis,0,0.0,-1,,0.6,"The image shows skin on the upper arm with some diffuse erythema and small, scattered hyperpigmented macules. No clear distinct lesions or patterns are evident."
7,youtube/TL_AhJVL7Xg_frame_3317_1.jpg,allergic contact dermatitis,sam_baseline,no definitive diagnosis,0,0.0,-1,,0.5,"The image shows a foot with signs of possible skin condition, including thickening and discoloration of the toenails, and scaling on the skin. The exact diagnosis is unclear from the image alone."
8,youtube/TlLO0Ujv_wg_frame_29136_0_0.jpg,allergic contact dermatitis,sam_baseline,ichthyosis vulgaris,0,0.0,-1,,0.8,"The skin appears extremely dry and scaly, with a thickened and rough texture over the chest and arms, typical of a condition like ichthyosis."
9,youtube/RBEULrR75Ic_frame_51337_1.jpg,allergic contact dermatitis,sam_baseline,no definitive diagnosis,0,0.0,-1,,0.3,The image shows a discolored area on the face with an unclear lesion due to image quality and possible interference from medical equipment. The area appears reddish.
